央视频道,#genre#
CCTV1,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226432/1.m3u8#http://scgctvshow.sctv.com/hdlive/cctv1/1.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225557/index.m3u8#http://39.134.168.76/PLTV/1/224/3221225510/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225732/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225557/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225732/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225717/index.m3u8#http://101.71.255.229:6610/zjhs/2/10126/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://39.134.168.76/PLTV/1/224/3221225508/index.m3u8#http://39.134.168.76/PLTV/1/224/3221225510/index.m3u8#http://35789.hlsplay.aodianyun.com/tv_radio_35789/tv_channel_1725.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225557/index.m3u8
CCTV2,http://101.71.255.229:6610/zjhs/2/10127/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.168.76/PLTV/1/224/3221225550/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225599/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225820/index.m3u8
CCTV3,http://39.134.65.208/PLTV/88888888/224/3221225688/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225784/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225784/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225688/index.m3u8#http://101.71.255.229:6610/zjhs/2/10128/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225688/index.m3u8#http://101.71.255.229:6610/zjhs/2/10068/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8#http://39.134.168.76/PLTV/1/224/3221225552/index.m3u8#http://37248.hlsplay.aodianyun.com/tv_radio_37248/tv_channel_589.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225688/index.m3u8
CCTV4,http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.168.76/PLTV/1/224/3221225554/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.168.76/PLTV/1/224/3221225556/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225685/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225491/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225685/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225491/index.m3u8#http://101.71.255.229:6610/zjhs/2/10130/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.66.66/PLTV/88888888/224/3221225491/index.m3u8#http://hbzx.chinashadt.com:2036/zhibo/stream:hbnm.stream/playlist.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225685/index.m3u8

CCTV6,http://39.134.168.76/PLTV/1/224/3221225558/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225786/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225687/index.m3u8#http://182.254.60.121/liveplay-kk.rtxapp.com/live/program/live/cctv6hd/2300000/mnf.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225687/index.m3u8#http://39.134.168.69/PLTV/1/224/3221225558/index.m3u8#http://101.71.255.229:6610/zjhs/2/10131/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.66.66/PLTV/88888888/224/3221225687/index.m3u8#http://39.134.168.76/PLTV/1/224/3221225558/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225687/index.m3u8
CCTV7,http://39.134.65.208/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225671/index.m3u8#http://101.71.255.229:6610/zjhs/2/10067/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.66.66/PLTV/88888888/224/3221225489/index.m3u8#http://101.71.255.229:6610/zjhs/2/10067/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.66.2/PLTV/88888888/224/3221225489/index.m3u8
CCTV8,http://39.134.168.69/PLTV/1/224/3221225562/index.m3u8#http://39.134.168.76/PLTV/1/224/3221225562/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225788/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225788/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225557/index.m3u8#http://101.71.255.229:6610/zjhs/2/10132/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.168.76/PLTV/1/224/3221225562/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225788/index.m3u8
CCTV9,http://39.134.65.208/PLTV/88888888/224/3221225519/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225519/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225519/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225676/index.m3u8#http://101.71.255.229:6610/zjhs/2/10133/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225519/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225519/index.m3u8
